Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
14.22,211.2,40,543.5,1.37,-0.6,0.03,0.08,0.02,591.6,1052.3,13.4,74.13,125.73,79.91,0.05,0.07,0.04,18.6,51.6,571.6,13.4,0,0.49,0.33,0.25,0.33
50.47,8896,7640,37257,11.19,-0.13,0.66,0.7,0.21,13164,43350,7872,13200.16,14731.16,10496.12,0.05,0.2,0.18,85,1531,38374,7872,0.07,0.23,0.06,0.06,0.43
21.5,12.4,9.8,,1.63,,0.12,,,28.3,302.3,3.1,,,,0.18,,0.03,0,0,0,3,0,0,0.28,0.22,0.33
3.25,0,94.9,50.6,396.67,1.82,-0.09,-24.69,-0.16,0.3,121.3,-8.1,-7.41,-5.61,6.08,0.44,0.56,0.78,2.1,1.8,170.9,2,0,0.07,0,0,0
18,0,0,,,,,,,0,0,0,,,,,0,,0,0,181.2,5.6,,,,,
3.5,14,6.4,186.7,1.53,-0.26,0.44,0.51,0.06,30.8,67.2,10.3,15.7,20.2,19.85,0.12,0.04,0.1,1.8,4.5,169.4,4.6,0.03,0.3,0.35,0.26,0.38
7.49,0,8.2,96.7,2.99,0.29,0.15,0.32,0.04,18.4,51.1,4,9.79,12.99,4.15,0.13,0.08,0.16,4.3,3.2,108.2,4.5,0.02,0.26,0,0,0
24.39,0,0,,,,,,,0,0,0,,,,,0,,0,0,343.9,26.9,,,,,
1.53,0.6,0.6,30.9,9.37,0.51,0.22,0.34,0.05,6.3,11.9,1.4,2.16,2.46,1.06,0.01,0.02,0.05,1.4,0.3,30.9,1.4,0.05,0.13,0.01,0.01,0.09
1.19,5.3,1,13.9,1.35,0.76,0.06,0.1,0.06,17.5,20.8,0.8,1.7,2.9,0.41,0.04,0.05,0.05,2.8,1.2,20,1.1,0.61,0.24,0.27,0.21,0.29
0.05,0.9,0.1,2.7,,-3.33,,1.25,-0.15,-0.2,1.8,-0.4,-0.25,-0.25,-1.08,0.08,0.08,0.06,0,0,1.3,-1.6,0.28,0,2.25,0.69,
14.59,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
1.03,2.5,0.9,3.9,1.26,-0.11,0.05,0.23,0.03,3.9,5.1,0.1,0.91,1.31,1.01,0.16,0.23,0.18,0.3,0.4,3.9,0.1,0,0.8,0.76,0.43,0.57
0,3.4,0,5.3,8.6,-3.59,,-0.78,-0.77,0.5,4.3,-4.1,-0.39,-0.39,-1.79,0,,0,0,0,0,0,0.33,0.02,3.78,0.79,
16.03,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
0.08,2.4,0.4,9.2,2.03,-2.82,0.13,0.19,0.05,5.9,7.5,0.5,1.1,1.3,4.2,0.03,,0.05,0.3,0.2,0,0,0.13,0.23,0.24,0.19,0.38
0.17,0,0,0.4,2.27,0,,-1.46,-5,1.1,0.5,-2,-1.61,-1.61,-1.61,0,0,0,0,0,0.4,-1.5,0.4,0,0,0,
0.32,1.1,0.2,4.2,3,-2.19,-3.5,0.42,-0.17,1.1,2.1,-0.7,0.46,1.56,1.46,0.06,0.05,0.1,0.1,1.1,4.2,0.1,0,0.33,0.46,0.31,0.85
0.6,17.7,0,,30.54,,,,,1.3,27.5,-18.8,,,,0,,0,0,0,0,-11.1,0,0,0.8,0.45,
3.2,2.1,0.9,21.1,2.85,-0.11,-0.45,-0.31,-0.24,15.8,23.5,-5,-4.94,-4.74,-5.47,0.02,0.04,0.04,0.7,0.2,21.4,-7.5,0.32,0.04,0.05,0.05,0.16
34.63,265,25.4,926.5,1.69,0.03,0.15,0.12,0.06,627,816.9,57,122.3,139.1,73.21,0.02,0.03,0.03,16,16.8,960.8,57,0.66,0.04,0.32,0.24,0.41
11.35,81.2,143.2,463.3,3.21,-1.28,0.01,0.08,0.01,388.7,704.8,6.5,74.13,121.73,67.52,0.1,0.22,0.2,4.5,47.6,648.3,6.5,0.05,0.49,0.06,0.06,0.15
0.01,2,0.1,,0.14,,-6.5,,,20.4,3.1,-2.6,,,,0.03,,0.03,0,0.2,0,-5,0.68,0,2.22,0.69,0.83
1.03,0.6,1.6,6.9,21.23,3.95,,-0.33,-0.12,1.3,3.9,-0.8,-0.42,-0.22,1.25,0.05,0.15,0.41,0.1,0.2,10.4,0.6,0,0.08,0.02,0.02,
0.1,0,0.1,0.3,,-0.05,-4.4,-5.18,-7.33,0.4,0.8,-2.2,-2.07,-1.97,-2.17,1,0.17,0.13,0,0.1,0.6,-1.2,0,0.13,0,0,0
18.7,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
2.65,0.1,3.1,25.9,1.17,-0.92,-0.04,0.14,-0.02,10.4,16.7,-0.6,1.41,3.01,2.71,0.2,0.12,0.19,0.3,1.6,25.9,-0.6,0,0.1,0.01,0.01,0.01
46.59,62.3,49,784.3,6.25,-0.07,0.16,0.23,0.12,591.6,853.5,92.9,209.09,254.39,146.03,0.01,0.06,0.06,34.3,45.3,847.3,106.4,0.64,0.12,0.02,0.02,0.1
4.52,95.7,41,233.7,1.23,5.48,0,0.02,0,217.1,366.9,-0.7,4.37,8.67,-19.57,0.13,0.12,0.11,10.7,4.3,355.7,-1.5,0.12,0.06,0.45,0.31,0.37
1.4,20,0.1,5,2.68,-30.48,-0.15,0.03,-0.58,39.8,80.1,-2.9,1.26,1.26,39.56,0,,0,0,0,0,-0.1,0,0.02,0.23,0.19,0.5
9.65,0,51.4,105.3,,0.77,0.35,-3.55,0.15,-5.9,92.5,15.8,21.72,25.82,4.87,0.15,0.47,0.56,21.1,4.1,108.9,14.6,0,0.27,0,0,0
0.04,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
48.09,936.7,808.6,1723.7,2.56,0.57,0.01,0.06,0.04,4594.5,5998.2,60.6,340.09,596.89,110.92,0.06,0.37,0.13,405.6,256.8,2158.3,60.6,0.06,0.72,0.08,0.07,0.17
3.75,0,45.1,41.9,0.06,0.15,-0.21,-0.31,-0.44,45.2,104,-18.6,-14,-8.4,-11.9,0.95,1.08,0.43,3.5,5.6,41.9,0,0.04,0.27,0,0,0
19,0,1.6,,0.9,,0.04,,,4,31.9,0.2,,,,0.31,,0.05,0,0,0,0.2,0,0,0,0,0
6.17,0,25.6,109.6,1.94,0.09,0.08,0.2,0.04,34.5,86.4,4.6,6.96,9.66,6.24,0.28,0.23,0.3,2.9,2.7,113.7,3.2,0.08,0.18,0,0,0
0.16,0.3,0.3,,,,,,,-0.2,0.3,-3,,,,0.11,,1,0.4,0,0,0,0,0,0.13,0.11,
3.68,0.1,0.6,29,33.39,-0.15,-2.53,-1.97,-0.46,6.4,6.2,-13.4,-12.6,-12.4,-14.43,0,0.01,0.1,0.3,0.2,74.6,-25.8,0.45,0.06,0,0,0.02
0.01,2.7,0,,,,,,,-0.1,0.1,-0.7,,,,0,,0,0,0,0,0,0,0,13.5,0.93,
0,92.5,20.2,61.2,0.82,5.05,-1.49,-0.02,-0.41,89.2,138.5,-25.2,-2.07,11.73,8.41,0.22,0.25,0.15,4.7,13.8,81.8,-11.3,0.06,0.66,185,0.99,0.85
0.02,2.1,0.4,3.4,0.71,-24.22,0.18,0.06,0.06,2.8,5.6,0.2,0.17,0.17,4.37,0.17,,0.07,0,0,0,0,0.02,0.05,7,0.88,0.66
0.67,0,4.6,16,1.66,0.23,-0.65,-0.56,-0.86,16.6,26.8,-13.7,-9.33,-3.83,-7.23,0.14,0.29,0.17,3.4,5.5,16,-13.7,0.09,0.47,0,0,0
0.43,0,2.2,,0.2,,-7.77,,,21,3.1,-10.1,,,,0.34,,0.71,0.2,0.1,0,-9.2,0,0.13,0,0,0
36,3.7,0.9,7.7,11.77,1.53,0.04,0.12,0.18,35.2,41,1.4,4.45,6.45,-2.34,0,0.09,0.02,8.9,2,9.5,2.1,0,0.93,0.01,0.01,0.1
0,3.4,0.4,7.1,,-1.34,,0.87,-0.21,-0.7,0.6,-1.5,-0.61,-0.61,-1.43,0.06,0.31,0.67,0,0,1.3,0,0,0,1.13,0.53,
3.86,0,7.1,6.2,0.1,0.26,-0.26,-0.44,-0.71,9.7,18,-4.4,-4.22,-2.72,-3.12,0.88,0.95,0.39,0.1,1.5,7.5,-3.7,0.37,0.05,0,0,0
0.02,0.2,0,,,,,,,-0.3,0,-0.8,,,,0,,,0,0,0,-0.4,,,0.67,0.4,
18.22,778.1,65,,1.43,,0.11,,,983.5,4330.4,30.4,,,,0.04,,0.02,0,0,0,45.7,0.01,0,1.12,0.53,0.74
14.95,0,0,,,,,,,0,0,0,,,,,0,,0,0,2304.3,0,,,,,
2.9,0,33,,1.4,,-0.07,,,51.2,86.6,-5.5,,,,0.32,,0.38,6.5,0.1,0,-5.5,0,0.61,0,0,0
0.06,0,0.1,,,,-5,,,0,0.1,-0.5,,,,0.17,,1,0,0,0,-0.3,0,0,0,0,0
22.3,0,356.2,191,31.32,2.33,0.09,0.29,0.27,221.6,701.5,51.3,100.92,121.02,-84.5,0.05,0.52,0.51,56.1,20.1,680,199,0,0.38,0,0,0
3.8,0,1.6,,,,-0.19,,,0,1.6,-0.3,,,,0.04,,1,0,0,0,-0.4,0,0,0,0,0
0.03,1,0.1,1.3,7.1,-0.12,-1.32,-0.72,-2.23,3.1,5.9,-2.9,-2.23,-1.93,-2.51,0,0.25,0.02,0.3,0.3,0.4,-3,0,0.36,0.05,0.05,0.31
2.9,3.7,0.4,103.1,1.58,0.62,0,0.03,0,24.2,34.4,0,1.99,4.29,0.3,0.01,0,0.01,2.7,2.3,104.4,-0.3,0,0.41,0.11,0.1,0.15
0.16,1,0,1.6,,-1.2,,1.74,-4.06,-3.5,5.8,-6.5,-6.08,-5.98,-13.38,0,,0,0.6,0.1,0,0,0,0.24,0.05,0.04,
3.09,0.8,90,63.5,3.02,2.45,0.12,0.23,0.36,109.2,222.4,22.9,25.22,30.22,-36.45,0.21,1.11,0.4,64.7,5,81.4,-7.6,0,0.46,0,0,0
26.05,4,53.7,584,1.61,0.37,0.1,0.2,0.11,576.7,805.8,64.8,170.53,245.53,72.33,0.05,0.08,0.07,114.6,75,651.1,75,0.31,0.43,0,0,0.01
66.03,0,292.4,,2.91,,0.18,,,6982.5,106888.5,1279.7,,,,0.01,,0,0,0,0,1328.3,0,0,0,0,0
127.61,135655,52544,29839,1.3,2.76,0.18,0.1,0.15,108190,531379,4553,16250.32,16935.32,-19551.53,0.27,1.36,0.1,608,685,38701,4772,0,0,2.34,0.7,0.84
0.02,8.1,2,1,2.15,-1.18,,-0.46,-3.5,5.9,9.8,-3.5,-2.7,-2.3,-5.9,0.14,0.91,0.2,4.8,0.4,2.2,0,0,0.7,1.23,0.55,
0.11,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
19.15,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
0.9,0,2.3,,,,-0.04,,,0,2.3,-0.1,,,,0.96,,1,0,0,0,-0.4,0,0,0,0,0
1.33,0,0,,,,,,,0,0,0,,,,,0,,0,0,34.7,-8.2,,,,,
5.05,1.2,1.8,15.8,4.59,-1.33,-0.21,0.18,-0.04,2.7,7.2,-0.7,0.48,1.28,1.11,0.13,0.11,0.25,0.2,0.8,16.7,-0.5,0,0.63,0.09,0.08,0.27
41.08,1902.8,297.9,4724.5,2.27,-0.07,0.13,0.17,0.04,2947.8,6217.5,172.2,636.39,859.29,543.51,0.04,0.06,0.05,152,222.9,5063.1,206.5,0.29,0.19,0.37,0.27,0.59
25.07,27,3.4,45,6.68,1.07,0.24,0.29,0.35,96.8,128,15.6,28.39,40.99,-2.08,0.01,0.06,0.03,47.5,12.6,56.2,-13.1,0,0.85,0.04,0.04,0.29
17.36,5679.6,2120.3,18370.4,1.84,0.12,-0.69,0.16,0,3632.1,16533.3,-49.9,1432.89,2061.59,503.88,0.24,0.11,0.13,518.6,628.7,19623.9,-49.9,0.05,0.33,1.82,0.64,0.99
9.59,0,121.6,1267,1.68,0.43,0.07,0.26,0.01,117.3,503.4,15.7,48.53,73.03,17.5,0.38,0.1,0.24,37.5,24.5,1264.3,-13.5,0,0.25,0,0,0
414.86,1.9,2132.3,3189.2,155.22,0.56,0.14,0.75,0.13,798.7,3313.4,405.9,1248.57,1377.07,260.91,0.02,0.41,0.64,319,128.5,5251,0,0.06,0.11,0,0,0
1.66,0,18,42.1,2.14,0.16,-0.97,-0.32,-0.97,24,55.9,-40.7,-7.64,-5.14,-6.42,0.26,0.46,0.32,1.1,2.5,39.2,-4.7,0.46,0.03,0,0,0
22.21,0,18.9,203.6,2.18,0.32,0.08,0.13,0.05,103,165.3,9.3,20.6,27.8,9.02,0.08,0.09,0.11,7.5,7.2,218,10.3,0.04,0.33,0,0,0
8.4,74.6,5.5,662,1.01,0.13,0.05,0.08,0.01,181.5,315.6,5.3,22.97,36.27,12.71,0.03,0.01,0.02,13.8,13.3,672.2,5.6,0.02,0.4,0.66,0.4,0.4
11.35,0,2.7,,1.52,,0.05,,,15.3,104.2,0.9,,,,0.1,,0.03,0,0,0,1,0,0.01,0,0,0
8.1,17.2,2.4,194,1.47,-0.3,0.1,0.06,0.05,106.4,156,8.8,6.31,10.41,8.22,0.02,0.01,0.02,1.8,4.1,197.1,11.1,0.41,0.02,0.12,0.11,0.16
0.07,7.8,0.2,2.2,,1.18,,1.29,-5,-4.8,3.9,-11,-6.19,-6.09,1.13,0.01,0.04,0.05,0.1,0.1,4.5,-16.1,0.46,0.03,0.54,0.35,
36.53,6,60.6,605,14.05,0.1,0.47,0.69,0.18,176.2,371.7,108.7,179.32,197.12,109.34,0.02,0.09,0.16,16.9,17.8,706.8,121.1,0.05,0.25,0,0,0.03
6.19,673,24,848,2.12,0.51,,0.1,0.02,596,1068,17,146.96,181.96,29.01,0.02,0.03,0.02,59,35,869,6,0.02,0.35,1.09,0.52,
22.5,1.9,2.7,41.3,5.16,2.94,0.02,0.03,0.01,15.8,33.5,0.3,0.63,1.43,-1,0.03,0.05,0.08,0.2,0.8,49.8,2.8,0,0.23,0.02,0.02,0.1
71.15,9.5,429.2,5049.8,3.63,0.23,0.13,0.2,0.05,1648.3,2809.6,276.9,537.8,636.1,257.8,0.07,0.08,0.15,128.3,98.3,5401,276.9,0.06,0.27,0,0,0
1.5,0.8,5.9,29.5,0.62,7.59,0.01,0.03,0.02,30.2,44.1,0.5,1.58,2.38,-5.01,0.24,0.11,0.13,0.7,0.8,51.7,-4.1,0.49,0.05,0.03,0.03,0.02
0.21,400.8,66.5,113.8,0.62,-0.93,,0.02,-0.6,541.9,429.9,-67.8,10.01,24.31,19.34,0.16,0.61,0.15,4.8,14.3,109.1,-67.9,0.61,0.11,102.77,0.99,
36.03,164.4,263.9,2136.2,3.16,0.42,0.1,0.2,0.03,451,1278,57,127.53,190.03,51.99,0.16,0.11,0.21,89.6,62.5,2338,57,0,0.29,0.11,0.1,0.23
44.08,382,47.6,945.6,5.92,0.81,0.09,0.13,0.07,1039.9,1344.5,64.8,193.94,237.14,25.74,0.01,0.04,0.04,37.9,43.2,1244.3,139.5,0.33,0.18,0.07,0.06,0.35
2.28,2025.2,7.3,2386.5,1.01,-0.24,-0.09,0.15,-0.02,2474.5,3111.3,-41.8,376.83,605.73,467.28,0,0,0,137.8,228.9,2398.5,-78.8,0.26,0.53,4.3,0.81,0.82
0.19,0,0.7,3.5,,1.35,-3.5,2.57,-0.4,-0.3,2.2,-1.4,-0.77,-0.07,0.27,0.08,0.15,0.32,0,0.7,4.7,-1,0,0.05,0,0,0
7.2,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
9.82,655.9,50.6,346.6,1.01,-0.01,0.11,0.09,0.13,1062.1,1373.5,44.3,149.04,184.84,91.84,0.05,0.15,0.04,36.3,35.8,328.8,21.2,0.79,0.1,1.41,0.59,0.61
34,0,44.1,,,,0.09,,,-26.5,159.4,1.5,,,,1.76,,0.28,0,0,0,0,0,0.04,0,0,0
19.89,362.6,170.2,,0.92,,0.1,,,1261.5,11722,104.8,,,,0.13,,0.01,43.5,0,0,84.8,0,0,0.38,0.27,0.25
1,100.4,1.1,76.3,1.42,-0.18,,0.29,0.01,79.6,102.5,0.9,23.35,29.95,27.59,0.01,0.02,0.01,1.8,6.6,73.2,0.3,0,0.91,7.12,0.88,
139.25,0,5.6,14.3,22.3,-0.03,0.83,1.37,0.85,9.1,18.4,12.2,12.47,12.67,12.84,0.03,0.33,0.3,0,0.2,17,14.8,0,0.24,0,0,0
16.1,0,1.2,,1.14,,0.05,,,24.9,156.4,1.2,,,,0.04,,0.01,0,0,0,1.2,0.01,0,0,0,0
27.61,250,91.8,,1.83,,0.19,,,297.4,1845.7,26.9,,,,0.14,,0.05,0,0,0,27.3,0,0,0.65,0.39,0.64
0,0,0,,,,,,,-0.6,0,-13.4,,,,0,,,0,0,0,-13.6,,,0,0,
30.65,2321,2472,,2.53,,0.18,,,10570,95851,1688.6,,,,0.08,,0.03,197,0,0,1745.7,0.07,0,0.09,0.08,0.2
10.31,0,0,,,,,,,0,0,0,,,,,,,0,0,0,0,,,,,
26,171.7,92.2,200.1,1.93,0.75,0.07,0.1,0.09,335.7,479.9,18.2,50.37,65.17,8.48,0.12,0.44,0.19,38.4,14.8,211.6,18.2,0.46,0.19,0.3,0.23,0.4
5.26,9.4,10.6,,0.9,,-0.19,,,15.9,434.4,-3.2,,,,0.43,,0.02,0,0,0,-2.7,0,0.02,0.61,0.38,0.35
25.62,617.9,171.7,,1.35,,0.12,,,1313.1,6932.1,92.9,,,,0.09,,0.02,0,0,0,90.9,0.04,0,0.47,0.32,0.45
14.9,109.7,23,,1.43,,0.13,,,145.3,825.4,7.8,,,,0.1,,0.03,0,0,0,8.6,0.01,0,0.91,0.48,0.65
26.39,0,0,,,,,,,0,0,0,,,,0,,,0,0,0,0,,,0,0,
0.03,0,0,0.7,,0,,0.37,-0.14,-0.2,0.3,-0.1,-0.07,-0.07,-0.07,0,0,0,0,0,0.7,-0.1,0.67,0,0,0,
28.79,100.5,1.7,228.8,1.18,0.29,0.1,0.11,0.05,208.4,341.6,11.1,35.17,49.07,16.47,0.01,0.01,0,20.8,13.9,224.2,11.1,0,0.68,0.69,0.41,0.48
40.6,8.7,6.4,161.5,4.96,0.26,0.15,0.21,0.06,62.7,89.9,9,21.95,27.95,9.82,0.02,0.04,0.07,9.4,6,162.6,9,0.02,0.44,0.03,0.03,0.13
0.02,8.3,0,2.8,1.73,-0.17,,-0.63,-1.25,4.9,7.5,-3.5,-3.1,-2.9,-3.61,0,0,0,0.8,0.2,3.6,-5.2,0,0.84,41.5,0.98,
28.38,239.5,73.2,1024.2,1.77,0.84,0.18,0.16,0.03,342.4,671.2,31.7,90.64,113.54,8.59,0.11,0.07,0.11,69.1,22.9,1024.2,31.7,0,0.38,0.55,0.35,0.58
27.36,75.5,30.7,,2,,0.11,,,153.5,1233.4,12,,,,0.09,,0.02,0,0,0,12.9,0.02,0,0.29,0.22,0.41
5.86,3.2,113.5,44.4,2.82,0.22,0.05,0.66,0.13,12.8,135.3,5.7,9.01,10.91,6.52,0.76,1.69,0.84,2.4,1.9,67.1,7.9,0.03,0.04,0.02,0.02,0.03
56.15,0,113.2,151.1,109.61,0.07,0.3,3.48,0.25,14,177,38.3,72.5,76,45.19,0.07,0.6,0.64,4.4,3.5,189.6,38.3,0,0.05,0,0,0
0,1.5,0.1,2.3,,-0.52,,0.42,-1.39,-7.3,0.4,-3.2,-3.04,-3.04,-4.63,0.04,0.06,0.25,0,0,1.8,-2.8,0,0,1.36,0.58,
0.15,14.5,0.5,30.8,0.97,-0.59,-0.82,0.1,-0.09,17.4,23.6,-2.8,1.72,4.42,2.73,0.03,0.01,0.02,1.6,2.7,33.4,-6.3,0.16,0.49,5,0.83,0.81
0,0.4,0.1,1.5,0.44,0.12,-1,-0.86,-0.87,1.6,2.7,-1.3,-1.37,-1.27,-1.21,0.13,0.07,0.04,0,0.1,1.4,-1.2,0,0.26,1,0.5,0.24
24.75,66.8,3.9,,1.41,,0.07,,,91,315.8,2,,,,0.03,,0.01,0,0,0,3.1,0,0,1.02,0.5,0.7
66.15,469,38.1,2209.3,1.84,-0.12,0.08,0.18,0.02,1060,1813.2,47.8,253.85,353.75,214.24,0.02,0.02,0.02,62.8,99.9,2424.3,104.6,0.15,0.49,0.31,0.24,0.43
7.74,275,71.7,424.6,3.91,0.28,0.03,0.11,0.02,440.8,635.9,8.1,83.52,138.82,34.05,0.04,0.12,0.11,47,55.3,622.1,92.9,0.02,0.69,0.18,0.15,0.54
27,32.4,39,41.2,1,1.27,-0.02,0,-0.05,128,176.4,-2.2,0.56,5.56,-0.15,0.23,1.01,0.22,7.9,5,38.5,-3.7,0,0.4,0.24,0.19,0.19
23.8,168.9,88,1393.8,2.03,0.3,0.17,0.22,0.04,399.9,749.5,53.9,139.52,167.82,61.58,0.1,0.06,0.12,56.1,28.3,1383.3,51.3,0.07,0.27,0.23,0.19,0.35
3.2,1.5,1.4,63.7,4.36,0.54,0,0.4,0,3.9,19.7,0,1.57,3.57,0.71,0.08,0.02,0.07,2.9,2,67.9,0.9,0.03,0.6,0.09,0.08,0.28
0.22,7.7,0.1,0.9,1.61,-1.59,,-0.18,-14.89,23.1,0.8,-13.4,-4.22,-4.12,-10.92,0,,0.13,0.1,0.1,0,0,0,0.38,0.26,0.21,
31.44,1090.1,37.8,5435,1.12,1.27,0.11,0.06,0.01,1619.5,1947.2,63.2,159.79,175.59,-27.75,0.02,0.01,0.02,47.4,15.8,5986.2,63.2,0.28,0.08,1.42,0.59,0.66
12,25,26.4,463.5,4.74,-0.17,0.54,0.58,0.03,34.8,84.6,13.3,20.12,25.82,23.52,0.14,0.05,0.31,2.6,5.7,480.5,16.9,0.29,0.1,0.15,0.13,0.51
3.85,1453.5,65.6,1008.6,1.05,-0.05,-0.3,0.19,-0.04,1527.8,2727.2,-42.6,291.38,398.78,306.41,0.04,0.07,0.02,107,107.4,907.6,-45.4,0,0.72,6.65,0.87,0.91
15,0,7,,0.56,,0.01,,,21.9,200.1,0.2,,,,0.36,,0.03,0,0,0,0.2,0,0.01,0,0,0
1.24,0,0.9,29.5,1.9,-1.6,0.02,0.08,0,5,14.2,0.1,0.68,1.38,1.02,0.09,0.03,0.06,0.2,0.7,27.3,-1.9,0.12,0.04,0,0,0
15.09,14.6,75.4,335.3,11.07,1.17,0,0.26,0,56.7,231.9,0.3,14.89,25.79,-2.47,0.11,0.19,0.33,37.4,10.9,403.7,1.6,0.06,0.32,0.02,0.02,0.11
10.86,0,85.3,330,1.75,-0.48,0.14,0.25,0.13,220.3,386.2,41.5,59.47,73.07,81.12,0.18,0.31,0.22,2.4,13.6,274.2,13.8,0.2,0.13,0,0,0
0.15,0.4,0.2,0.4,0.34,2.09,-0.29,-0.06,-1.5,3.8,3,-0.6,-0.24,0.06,0.26,0.13,0.25,0.07,0.2,0.3,0.8,-0.6,0,0.1,0.36,0.27,0.16
111,18.4,14.5,579.3,4.43,0.35,0.22,0.27,0.03,86.7,306.5,18.6,35.45,44.35,15.07,0.04,0.02,0.05,14.1,8.9,610.2,36.9,0,0.18,0.05,0.05,0.18
31.69,696.8,257.7,10854.9,2.58,-0.18,-0.49,0.39,-0.01,672.9,2802,-115.2,263.77,531.87,312.53,0.13,0.02,0.09,216.1,268.1,10635.8,-115.2,0,0.54,0.54,0.35,0.75
27.94,1315.7,127.1,2464,1.36,0.06,0.15,0.16,0.07,2408.2,3798.9,178.8,502.16,678.26,359.04,0.04,0.05,0.03,198.2,176.1,2485.8,178.8,0.02,0.72,0.63,0.39,0.53
1.64,14.2,22.3,6.6,2.84,0.11,-0.88,-0.98,-4.47,25.6,57.3,-29.5,-25.06,-21.06,-22.26,0.23,3.33,0.39,1.3,4,6.7,-46.4,0.18,0.35,0.18,0.15,0.3
0.11,1.4,0,9,,0.1,,1.34,-0.04,-0.9,1.6,-0.4,-1.21,-0.91,-1.09,0,0,0,0.2,0.3,9.1,1,0,0.38,0.36,0.26,
31.65,729.1,291.3,1257.2,3.95,0.29,0.29,0.28,0.15,1093.6,1855.1,189.8,471.45,630.05,215.38,0.06,0.23,0.16,245.6,158.6,1274.3,189.8,0.18,0.39,0.19,0.16,0.53
7,1.2,0.4,1076.1,0.72,-0.7,0.11,0.09,0.01,92.9,296.4,10.3,14.2,17.2,14.8,0.01,0,0,7.5,3,933.4,-7,0,0.05,0.02,0.02,0.01
7.56,0,64.5,1.9,,0.07,-0.35,38.7,-11.74,-0.6,73.1,-22.3,-23.22,-22.72,-21.66,0.35,20.16,0.88,1.2,0.5,3.2,-31.1,0.07,0.02,0,0,0
19.5,64.9,14.9,,1.2,,0.1,,,88.6,542,3.7,,,,0.12,,0.03,0,0,0,0,0,0,1.15,0.53,0.63
27.9,0,22.7,,3.93,,0.04,,,15.3,386.8,1.5,,,,0.27,,0.06,0,0,0,0,0,0.02,0,0,0
24.1,25.7,11.7,50.2,2.32,-0.09,0.05,0.06,0.21,210.3,271.5,10.6,15.18,16.88,14.68,0.02,0.2,0.04,0.9,1.7,58.7,13.8,0.03,0.01,0.05,0.05,0.12
2.32,0,0.9,0.1,30.91,0.11,-8.84,-2.06,-274,2.2,3.5,-27.4,-4.53,-3.53,-4.03,0.01,,0.26,0.1,1,0,0,0.69,0.03,0,0,0
35.5,54.8,109.7,729.3,9.29,0.16,0.13,0.32,0.04,165.7,424.3,29.6,90.94,126.34,44.77,0.07,0.12,0.26,34.8,35.4,883.4,29.6,0.03,0.27,0.03,0.03,0.2
64.72,659.2,2214.3,3765.6,9.16,0.03,0.21,0.42,0.21,2187,5372.2,792.4,1207.25,1380.15,892.89,0.1,0.6,0.41,212.8,172.9,3690.6,792.4,0.13,0.15,0.03,0.03,0.15
50.01,100,64.3,1513.2,3.99,0.34,0.21,0.24,0.04,342.4,574.6,63.4,129.98,152.28,52.84,0.04,0.04,0.11,26.2,22.3,1688.7,63.4,0.05,0.17,0.08,0.07,0.25
24.31,0,40.4,173.9,3.05,0.38,0.09,0.18,0.07,86.2,152.3,12,23.89,29.89,9.78,0.13,0.21,0.27,8.1,6,193,13.1,0,0.4,0,0,0
29.62,277.5,17.5,139.3,1.53,0.58,0.01,0.07,0.02,576.2,632.7,2.7,42.03,68.13,17.56,0.02,0.09,0.03,46.3,26.1,193.8,0,0.05,0.85,0.45,0.31,0.47
12.05,3.4,7.5,23.1,5.13,0.7,0.07,0.2,0.19,73,78.2,4.3,14.4,19.4,4.27,0.02,0.26,0.1,15.1,5,28.8,13.7,0,0.8,0.01,0.01,0.05
0.04,0.7,0.3,5.5,,0.1,,2.16,-0.33,-0.4,1.3,-1.8,-0.87,-0.77,-0.78,0.06,0.06,0.23,0,0.1,5.4,-1.6,0,0.08,0.17,0.14,
23.4,0,60.6,583.2,4.33,1.66,0.07,0.17,0.03,156.8,351.7,15.2,37.21,65.01,-17.56,0.08,0.1,0.17,68.4,27.8,636.5,15.2,0,0.43,0,0,0
43.78,0,0.8,2,10.04,-0.15,-0.1,-0.08,-0.3,5.5,9.5,-0.6,-0.47,-0.37,-0.54,0.01,0.38,0.08,0.1,0.1,2.1,0,0,0.07,0,0,0
0.17,0.1,0.5,2.7,0.76,1.12,0.18,0.25,0.48,7,7.8,1.3,1.76,1.96,-0.2,0.09,0.13,0.06,0,0.2,4,3.2,0,0.01,0.02,0.02,0.01
