Stock Price,Total Debt,Cash,Revenues: Last yr,Invested Capital,Reinvestment Rate,ROE,ROC,Net Margin,Invested Capital,BV of Assets,Net Income,EBIT,EBITDA,FCFF,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,Trailing Revenues,Trailing Net Income,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital
5.05,2.2,3.2,40.9,3.42,-0.19,0.33,0.55,0.06,6.2,22.9,2.4,4.12,5.22,4.06,0.13,0.08,0.14,0.6,1.1,38.6,2,0,0.18,0.1,0.09,0.23
3.29,49,2.4,9,0.79,3.72,-0.02,0.08,-0.04,65.4,83.9,-0.4,5.13,8.73,-13.94,0.04,0.23,0.03,22,3.6,10.3,-0.5,0,0.89,10,0.91,0.72
10.75,4.8,13,463.4,1.75,-0.34,0.04,0.08,0.04,435.8,589.8,18.6,65.39,98.69,49.32,0.02,0.03,0.02,15.6,33.3,479.8,16.7,0.4,0.13,0.01,0.01,0.01
26.26,0,182.4,964.2,22.72,0.32,0.35,1.67,0.09,55.9,405.8,84.1,152.54,169.14,63.29,0.13,0.17,0.45,46.7,16.6,1096.2,86.4,0.01,0.3,0,0,0
6.45,3,0.8,30.7,2.21,1.3,0.14,0.06,0.05,12.7,18.5,1.5,0.78,1.48,-0.24,0.03,0.02,0.04,0.6,0.7,34.7,1.7,0,0.21,0.12,0.1,0.22
15.84,18583,1944,9486,1.48,0.02,0.27,0.14,0.05,18284,29732,443.9,3488.95,4329.95,2537.58,0.07,0.2,0.07,892,841,9874,443.9,0.05,0.63,1.8,0.64,0.92
0.08,2.1,0.3,15.8,3.83,0,,-1.8,-0.11,0.6,7.2,-1.7,-1.08,-0.98,-1.08,0.12,0.02,0.04,0.1,0.1,15.8,-1.7,0,0.01,4.2,0.81,
5.9,56.2,81.5,101.2,2.52,-0.95,-0.24,-0.21,-0.26,85,331,-26.2,-18.23,-15.93,-35.5,0.28,0.3,0.25,5.1,2.3,267.6,0,0.35,0.07,0.23,0.19,0.34
3.32,0,122.9,,2.91,,-0.16,,,7.7,136.6,-21.3,,,,0.85,,0.9,0.3,2.2,0,-1,0,0,0,0,0
0.33,0.5,0,,,,,,,-2.6,0.3,-2.1,,,,0,,0,0,0,0,-2.8,0.67,0,0.07,0.06,
94.26,1609.7,1396,19904.1,3.02,0.81,0.13,0.14,0.06,9295.1,42133.7,1215.1,2046.14,2228.34,247.21,0.05,0.06,0.03,190.3,182.2,21792.6,0,0.1,0,0.06,0.05,0.15
